,Id,Age Category,Sex,Rank,Time,Year
36301,789,"[75, 80)",M,2546,19484,2016
36302,790,"[25, 30)",M,1829,16882,2016
36304,792,"[30, 35)",M,2675,20090,2016
36305,793,"[45, 50)",M,2473,19148,2016
36306,794,"[45, 50)",F,365,12881,2016
36307,795,"[30, 35)",M,1390,15717,2016
36308,796,"[25, 30)",F,1266,15318,2016
36309,797,"[35, 40)",M,1577,16171,2016
36312,800,"[30, 35)",F,2146,17817,2016
36314,802,"[45, 50)",M,1178,15079,2016
36315,803,"[60, 65)",M,2912,22288,2016
36317,805,"[45, 50)",M,2242,18154,2016
36319,807,"[40, 45)",F,2985,23666,2016
36320,808,"[50, 55)",F,2527,19365,2016
36321,809,"[45, 50)",M,921,14364,2016
36322,810,"[30, 35)",F,1814,16835,2016
36323,811,"[30, 35)",M,82,11380,2016
36324,812,"[25, 30)",M,787,14091,2016
36326,814,"[40, 45)",M,271,12554,2016
36327,815,"[20, 25)",M,3032,25476,2016
36328,816,"[40, 45)",M,926,14373,2016
36330,818,"[50, 55)",M,646,13736,2016
36332,820,"[55, 60)",M,744,14010,2016
36333,821,"[30, 35)",M,24,10725,2016
36334,822,"[45, 50)",F,2268,18247,2016
36337,825,"[45, 50)",M,2466,19108,2016
36338,826,"[40, 45)",F,1822,16867,2016
36339,827,"[45, 50)",M,80,11356,2016
36340,828,"[55, 60)",M,792,14100,2016
36341,829,"[45, 50)",M,188,12152,2016
36342,830,"[30, 35)",F,1978,17292,2016
36343,831,"[30, 35)",M,40,10911,2016
36344,832,"[40, 45)",F,1586,16202,2016
36346,834,"[35, 40)",F,2948,23024,2016
36347,835,"[40, 45)",M,1811,16831,2016
36348,836,"[45, 50)",M,2594,19672,2016
36349,837,"[25, 30)",F,1244,15242,2016
36351,839,"[30, 35)",M,471,13256,2016
36352,840,"[50, 55)",M,1542,16100,2016
36353,841,"[40, 45)",F,2825,21294,2016
36354,842,"[30, 35)",F,282,12581,2016
36355,843,"[40, 45)",M,808,14140,2016
36357,845,"[20, 25)",M,936,14394,2016
36360,848,"[45, 50)",M,1160,15028,2016
36361,849,"[40, 45)",M,1645,16380,2016
36362,850,"[60, 65)",F,3025,25006,2016
36363,851,"[40, 45)",F,1214,15163,2016
36364,852,"[35, 40)",F,1362,15609,2016
36365,853,"[30, 35)",M,76,11299,2016
36366,854,"[35, 40)",F,1754,16684,2016
36367,855,"[35, 40)",M,817,14157,2016
36368,856,"[40, 45)",M,1528,16068,2016
36369,857,"[25, 30)",F,2294,18352,2016
36370,858,"[55, 60)",M,684,13854,2016
36371,859,"[35, 40)",M,816,14152,2016
36372,860,"[45, 50)",F,2437,19020,2016
36373,861,"[55, 60)",M,2204,17990,2016
36375,863,"[45, 50)",F,2835,21431,2016
36376,864,"[35, 40)",F,2518,19325,2016
36377,865,"[50, 55)",M,2597,19674,2016
36378,866,"[35, 40)",M,312,12657,2016
36379,867,"[40, 45)",F,1975,17281,2016
36380,868,"[40, 45)",F,2717,20404,2016
36381,869,"[45, 50)",M,1680,16463,2016
36382,870,"[50, 55)",M,1252,15268,2016
36383,871,"[55, 60)",F,1841,16920,2016
36384,872,"[30, 35)",M,1896,17060,2016
36385,873,"[35, 40)",M,2202,17989,2016
36386,874,"[30, 35)",F,2606,19706,2016
36387,875,"[30, 35)",M,39,10908,2016
36388,876,"[20, 25)",F,982,14515,2016
36389,877,"[40, 45)",M,1646,16383,2016
36391,879,"[40, 45)",M,1552,16117,2016
36393,881,"[20, 25)",M,3036,25698,2016
36394,882,"[35, 40)",F,295,12620,2016
36395,883,"[50, 55)",M,2778,20923,2016
36396,884,"[20, 25)",F,1145,14969,2016
36397,885,"[40, 45)",M,2084,17581,2016
36399,887,"[30, 35)",M,118,11724,2016
36401,889,"[15, 20)",M,1890,17047,2016
36403,891,"[60, 65)",M,1627,16318,2016
36404,892,"[40, 45)",M,454,13185,2016
36405,893,"[45, 50)",M,595,13609,2016
36406,894,"[55, 60)",M,851,14237,2016
36408,896,"[50, 55)",M,1480,15965,2016
36409,897,"[40, 45)",F,1806,16823,2016
36410,898,"[40, 45)",M,2314,18426,2016
36415,903,"[35, 40)",M,1039,14695,2016
36416,904,"[45, 50)",F,1009,14597,2016
36419,907,"[40, 45)",M,116,11707,2016
36423,911,"[45, 50)",F,2986,23668,2016
36428,916,"[35, 40)",M,1046,14710,2016
36430,918,"[50, 55)",M,301,12635,2016
36431,919,"[30, 35)",M,334,12747,2016
36434,922,"[55, 60)",M,2170,17887,2016
36436,924,"[35, 40)",F,1849,16950,2016
36437,925,"[55, 60)",M,2175,17910,2016
36438,926,"[45, 50)",M,451,13177,2016
36439,927,"[25, 30)",F,1778,16751,2016
36440,928,"[30, 35)",M,2665,20006,2016
36441,929,"[30, 35)",M,2195,17975,2016
36442,930,"[40, 45)",M,1654,16402,2016
36443,931,"[35, 40)",F,2313,18426,2016
36444,932,"[25, 30)",F,682,13851,2016
36445,933,"[20, 25)",M,2281,18303,2016
36451,939,"[35, 40)",F,1428,15835,2016
36452,940,"[35, 40)",F,2669,20022,2016
36453,941,"[35, 40)",F,1042,14697,2016
36454,942,"[30, 35)",F,1706,16557,2016
36455,943,"[40, 45)",M,1094,14860,2016
36456,944,"[35, 40)",M,2656,19944,2016
36457,945,"[50, 55)",M,2290,18344,2016
36459,947,"[20, 25)",F,2649,19908,2016
36460,948,"[45, 50)",F,871,14278,2016
36463,951,"[55, 60)",M,1431,15839,2016
36465,953,"[35, 40)",M,627,13683,2016
36466,954,"[30, 35)",F,2576,19594,2016
36467,955,"[40, 45)",M,47,10968,2016
36468,956,"[35, 40)",M,566,13526,2016
36469,957,"[50, 55)",M,565,13525,2016
36470,958,"[35, 40)",M,191,12156,2016
36471,959,"[50, 55)",M,434,13128,2016
36472,960,"[30, 35)",M,2549,19499,2016
36473,961,"[45, 50)",M,1103,14877,2016
36474,962,"[60, 65)",F,3044,26201,2016
36475,963,"[75, 80)",M,3034,25682,2016
36476,964,"[50, 55)",M,2488,19205,2016
36477,965,"[45, 50)",M,162,11987,2016
36478,966,"[35, 40)",F,1699,16537,2016
36480,968,"[40, 45)",F,2334,18533,2016
36482,970,"[20, 25)",F,2721,20424,2016
36483,971,"[50, 55)",F,712,13944,2016
36484,972,"[30, 35)",M,563,13512,2016
36485,973,"[25, 30)",M,2021,17405,2016
36486,974,"[45, 50)",M,1358,15591,2016
36487,975,"[20, 25)",F,2207,17995,2016
36488,976,"[40, 45)",F,2671,20062,2016
36490,978,"[45, 50)",M,1889,17047,2016
36491,979,"[35, 40)",M,2909,22192,2016
36492,980,"[55, 60)",M,2285,18321,2016
36493,981,"[35, 40)",M,453,13184,2016
36495,983,"[40, 45)",M,2640,19863,2016
36496,984,"[30, 35)",F,2355,18621,2016
36497,985,"[45, 50)",M,2217,18041,2016
36498,986,"[35, 40)",M,785,14086,2016
36502,990,"[30, 35)",F,1416,15800,2016
36506,994,"[45, 50)",M,540,13457,2016
36507,995,"[50, 55)",F,2688,20226,2016
36509,997,"[20, 25)",M,2972,23489,2016
36510,998,"[45, 50)",M,2046,17490,2016
36512,1000,"[40, 45)",M,611,13641,2016
36514,1002,"[45, 50)",M,517,13377,2016
36515,1003,"[40, 45)",M,2050,17500,2016
36516,1004,"[30, 35)",M,2097,17636,2016
36517,1005,"[25, 30)",F,1777,16749,2016
36518,1006,"[25, 30)",M,106,11622,2016
36520,1008,"[40, 45)",M,245,12435,2016
36521,1009,"[40, 45)",M,2061,17521,2016
36522,1010,"[60, 65)",F,3035,25685,2016
36523,1011,"[35, 40)",F,2713,20370,2016
36524,1012,"[50, 55)",M,1071,14809,2016
36525,1013,"[35, 40)",M,865,14267,2016
36526,1014,"[25, 30)",F,2779,20927,2016
36527,1015,"[45, 50)",F,1355,15585,2016
36528,1016,"[50, 55)",M,1142,14960,2016
36529,1017,"[25, 30)",M,776,14071,2016
36530,1018,"[55, 60)",M,1603,16256,2016
36531,1019,"[45, 50)",F,2311,18411,2016
36533,1021,"[35, 40)",F,3029,25305,2016
36534,1022,"[25, 30)",M,1607,16273,2016
36535,1023,"[25, 30)",F,183,12139,2016
36537,1025,"[35, 40)",F,1570,16163,2016
36538,1026,"[40, 45)",F,1860,16968,2016
36539,1027,"[45, 50)",M,716,13957,2016
36540,1028,"[40, 45)",M,1237,15231,2016
36544,1032,"[40, 45)",M,1281,15379,2016
36545,1033,"[40, 45)",M,805,14135,2016
36546,1034,"[40, 45)",M,2511,19312,2016
36547,1035,"[20, 25)",F,1717,16589,2016
36548,1036,"[30, 35)",M,2123,17741,2016
36549,1037,"[30, 35)",M,2804,21110,2016
36551,1039,"[50, 55)",M,1051,14727,2016
36552,1040,"[40, 45)",M,2392,18835,2016
36554,1042,"[40, 45)",M,541,13460,2016
36555,1043,"[40, 45)",M,1541,16099,2016
36556,1044,"[45, 50)",M,1342,15551,2016
36557,1045,"[35, 40)",M,1781,16756,2016
36558,1046,"[40, 45)",M,652,13750,2016
36559,1047,"[35, 40)",M,232,12386,2016
36560,1048,"[25, 30)",F,2379,18755,2016
36561,1049,"[35, 40)",M,2382,18770,2016
36562,1050,"[40, 45)",F,2973,23492,2016
36563,1051,"[35, 40)",M,177,12085,2016
36564,1052,"[50, 55)",M,303,12637,2016
36565,1053,"[60, 65)",M,2439,19023,2016
36566,1054,"[20, 25)",M,1371,15647,2016
36568,1056,"[35, 40)",M,6,9776,2016
36569,1057,"[40, 45)",F,2632,19833,2016
36570,1058,"[30, 35)",F,825,14177,2016
36573,1061,"[35, 40)",F,2881,21927,2016
36574,1062,"[25, 30)",M,2095,17633,2016
36576,1064,"[25, 30)",M,2078,17563,2016
36577,1065,"[45, 50)",M,1581,16185,2016
36578,1066,"[15, 20)",M,2467,19108,2016
36579,1067,"[55, 60)",F,1113,14899,2016
36582,1070,"[40, 45)",F,2250,18175,2016
36583,1071,"[55, 60)",M,2843,21616,2016
36585,1073,"[35, 40)",F,1887,17043,2016
36587,1075,"[50, 55)",M,1460,15936,2016
36589,1077,"[25, 30)",F,228,12374,2016
36590,1078,"[40, 45)",F,2438,19022,2016
36591,1079,"[30, 35)",F,550,13479,2016
36592,1080,"[35, 40)",M,195,12189,2016
36593,1081,"[55, 60)",F,2962,23294,2016
36594,1082,"[45, 50)",M,144,11900,2016
36596,1084,"[45, 50)",F,2402,18883,2016
36598,1086,"[30, 35)",F,2211,18011,2016
36599,1087,"[50, 55)",M,269,12542,2016
36600,1088,"[40, 45)",F,1382,15693,2016
36601,1089,"[50, 55)",M,1859,16968,2016
36602,1090,"[45, 50)",F,1833,16895,2016
36603,1091,"[40, 45)",F,2002,17366,2016
36604,1092,"[45, 50)",F,1673,16454,2016
36605,1093,"[50, 55)",M,1698,16524,2016
36606,1094,"[30, 35)",M,114,11692,2016
36607,1095,"[35, 40)",M,1932,17160,2016
36611,1099,"[25, 30)",M,526,13418,2016
36614,1102,"[35, 40)",M,592,13588,2016
36615,1103,"[35, 40)",M,1392,15723,2016
36616,1104,"[40, 45)",M,939,14398,2016
36617,1105,"[35, 40)",F,2644,19889,2016
36618,1106,"[50, 55)",M,2510,19306,2016
36620,1108,"[50, 55)",M,416,13094,2016
36624,1112,"[30, 35)",F,2950,23072,2016
36625,1113,"[40, 45)",F,2005,17367,2016
36627,1115,"[40, 45)",M,1235,15229,2016
36628,1116,"[40, 45)",M,1415,15799,2016
36629,1117,"[25, 30)",M,780,14079,2016
36632,1120,"[35, 40)",M,1139,14957,2016
36634,1122,"[65, 70)",F,2997,24219,2016
36635,1123,"[50, 55)",F,1742,16642,2016
36636,1124,"[60, 65)",M,2126,17746,2016
36637,1125,"[50, 55)",M,1224,15185,2016
36641,1129,"[30, 35)",M,647,13737,2016
36642,1130,"[30, 35)",M,2258,18214,2016
36645,1133,"[40, 45)",F,1052,14739,2016
36647,1135,"[20, 25)",M,1639,16364,2016
36648,1136,"[45, 50)",M,1004,14579,2016
36650,1138,"[45, 50)",M,1996,17351,2016
36651,1139,"[30, 35)",M,1929,17152,2016
36652,1140,"[30, 35)",F,2339,18547,2016
36653,1141,"[40, 45)",M,2862,21754,2016
36654,1142,"[40, 45)",M,1305,15432,2016
36655,1143,"[15, 20)",M,1647,16383,2016
36659,1147,"[40, 45)",M,498,13325,2016
36660,1148,"[45, 50)",F,1984,17314,2016
36661,1149,"[40, 45)",M,446,13151,2016
36662,1150,"[45, 50)",F,2719,20408,2016
36663,1151,"[25, 30)",M,1690,16494,2016
36664,1152,"[50, 55)",M,2357,18624,2016
36665,1153,"[45, 50)",M,1672,16449,2016
36667,1155,"[25, 30)",F,2650,19909,2016
36669,1157,"[60, 65)",M,150,11946,2016
36670,1158,"[35, 40)",M,1286,15398,2016
36671,1159,"[30, 35)",F,2344,18582,2016
36672,1160,"[40, 45)",M,2239,18141,2016
36673,1161,"[45, 50)",F,1931,17155,2016
36674,1162,"[35, 40)",F,1440,15871,2016
36675,1163,"[25, 30)",F,1087,14842,2016
36677,1165,"[50, 55)",M,1211,15154,2016
36678,1166,"[35, 40)",M,1722,16593,2016
36682,1170,"[25, 30)",M,2280,18291,2016
36683,1171,"[20, 25)",M,388,12968,2016
36684,1172,"[30, 35)",F,1545,16100,2016
36685,1173,"[40, 45)",M,2265,18237,2016
36686,1174,"[30, 35)",M,2676,20120,2016
36687,1175,"[45, 50)",M,169,12013,2016
36688,1176,"[35, 40)",M,371,12903,2016
36689,1177,"[35, 40)",M,1168,15044,2016
36691,1179,"[40, 45)",F,2910,22237,2016
36692,1180,"[45, 50)",F,2118,17728,2016
36693,1181,"[50, 55)",F,2593,19668,2016
36697,1185,"[50, 55)",F,2564,19529,2016
36699,1187,"[45, 50)",F,661,13773,2016
36700,1188,"[35, 40)",M,917,14360,2016
36701,1189,"[50, 55)",M,251,12450,2016
36702,1190,"[45, 50)",M,580,13554,2016
36703,1191,"[40, 45)",M,58,11083,2016
36704,1192,"[30, 35)",F,2994,23991,2016
36705,1193,"[50, 55)",M,1515,16038,2016
36707,1195,"[70, 75)",M,2927,22531,2016
36711,1199,"[55, 60)",M,2739,20600,2016
36713,1201,"[40, 45)",M,705,13921,2016
36715,1203,"[55, 60)",F,2993,23989,2016
36716,1204,"[30, 35)",M,2427,18985,2016
36717,1205,"[30, 35)",F,274,12560,2016
36718,1206,"[35, 40)",F,2008,17372,2016
36720,1208,"[55, 60)",F,2358,18624,2016
36722,1210,"[35, 40)",F,1869,16984,2016
36723,1211,"[40, 45)",F,2572,19583,2016
36724,1212,"[25, 30)",M,1725,16614,2016
36725,1213,"[35, 40)",M,1534,16087,2016
36726,1214,"[35, 40)",F,711,13937,2016
36727,1215,"[45, 50)",M,2165,17876,2016
36728,1216,"[40, 45)",M,3043,25954,2016
36729,1217,"[50, 55)",M,151,11949,2016
36731,1219,"[45, 50)",M,1120,14916,2016
36733,1221,"[35, 40)",F,1958,17242,2016
36734,1222,"[55, 60)",M,1606,16272,2016
36735,1223,"[30, 35)",M,945,14418,2016
36736,1224,"[40, 45)",M,1747,16659,2016
36738,1226,"[35, 40)",M,1771,16733,2016
36739,1227,"[50, 55)",F,2914,22328,2016
36741,1229,"[55, 60)",M,2783,20941,2016
36742,1230,"[20, 25)",F,361,12853,2016
36743,1231,"[30, 35)",M,1345,15556,2016
36744,1232,"[35, 40)",F,1353,15582,2016
36745,1233,"[35, 40)",M,920,14363,2016
36748,1236,"[35, 40)",F,729,13981,2016
36749,1237,"[30, 35)",M,54,11058,2016
36750,1238,"[30, 35)",M,1447,15897,2016
36751,1239,"[45, 50)",M,1331,15520,2016
36753,1241,"[30, 35)",M,389,12973,2016
36754,1242,"[35, 40)",M,1117,14912,2016
36756,1244,"[45, 50)",F,2486,19199,2016
36758,1246,"[40, 45)",M,1032,14683,2016
36759,1247,"[25, 30)",F,2476,19161,2016
36760,1248,"[50, 55)",M,359,12843,2016
36761,1249,"[40, 45)",M,814,14152,2016
36763,1251,"[25, 30)",M,1477,15961,2016
36764,1252,"[55, 60)",F,2048,17499,2016
36765,1253,"[20, 25)",F,2166,17879,2016
36767,1255,"[30, 35)",F,1674,16454,2016
36769,1257,"[40, 45)",M,2081,17575,2016
36770,1258,"[40, 45)",M,2521,19339,2016
36771,1259,"[45, 50)",M,854,14241,2016
36773,1261,"[50, 55)",M,518,13380,2016
36775,1263,"[50, 55)",M,1036,14689,2016
36776,1264,"[30, 35)",M,2263,18226,2016
36777,1265,"[35, 40)",M,407,13043,2016
36778,1266,"[35, 40)",F,346,12798,2016
36779,1267,"[40, 45)",M,185,12141,2016
36781,1269,"[25, 30)",F,1249,15264,2016
36782,1270,"[40, 45)",M,2450,19050,2016
36783,1271,"[40, 45)",M,2868,21800,2016
36784,1272,"[50, 55)",M,864,14263,2016
36785,1273,"[35, 40)",M,1617,16305,2016
36787,1275,"[30, 35)",F,3005,24541,2016
36789,1277,"[45, 50)",M,2532,19388,2016
36790,1278,"[40, 45)",F,2864,21776,2016
36791,1279,"[30, 35)",F,1082,14834,2016
36792,1280,"[25, 30)",M,692,13881,2016
36794,1282,"[35, 40)",M,1850,16954,2016
36796,1284,"[25, 30)",F,2284,18318,2016
36797,1285,"[45, 50)",M,2395,18846,2016
36799,1287,"[55, 60)",M,1846,16943,2016
36800,1288,"[40, 45)",M,2724,20488,2016
36803,1291,"[25, 30)",M,2570,19552,2016
36804,1292,"[30, 35)",M,935,14393,2016
36805,1293,"[45, 50)",M,1735,16630,2016
36806,1294,"[50, 55)",M,1751,16669,2016
36808,1296,"[45, 50)",M,1078,14822,2016
36810,1298,"[50, 55)",M,175,12081,2016
36811,1299,"[40, 45)",M,1170,15048,2016
36812,1300,"[35, 40)",M,1960,17246,2016
36815,1302,"[40, 45)",M,2213,18020,2016
36816,1303,"[40, 45)",M,914,14357,2016
36817,1304,"[35, 40)",M,944,14410,2016
36818,1305,"[40, 45)",F,2622,19791,2016
36819,1306,"[30, 35)",M,523,13407,2016
36820,1307,"[40, 45)",M,1332,15521,2016
36821,1308,"[25, 30)",M,714,13948,2016
36822,1309,"[25, 30)",M,961,14462,2016
36823,1310,"[25, 30)",M,2539,19432,2016
36824,1311,"[25, 30)",M,1511,16030,2016
36825,1312,"[65, 70)",M,2224,18085,2016
36826,1313,"[30, 35)",M,366,12881,2016
36827,1314,"[35, 40)",F,2833,21430,2016
36828,1315,"[20, 25)",M,386,12965,2016
36833,1320,"[50, 55)",M,992,14547,2016
36834,1321,"[45, 50)",M,655,13761,2016
36835,1322,"[30, 35)",M,1171,15057,2016
36836,1323,"[35, 40)",M,2162,17868,2016
36839,1326,"[35, 40)",M,1828,16880,2016
36840,1327,"[30, 35)",M,630,13691,2016
36843,1330,"[40, 45)",F,1474,15960,2016
36844,1331,"[40, 45)",M,2418,18941,2016
36845,1332,"[40, 45)",M,234,12393,2016
36847,1334,"[25, 30)",F,1437,15862,2016
36848,1335,"[25, 30)",M,204,12258,2016
36850,1337,"[45, 50)",M,2508,19293,2016
36852,1338,"[50, 55)",M,2139,17787,2016
36853,1339,"[45, 50)",M,1363,15610,2016
36854,1340,"[40, 45)",F,1403,15760,2016
36856,1342,"[35, 40)",M,857,14249,2016
36861,1347,"[45, 50)",F,1359,15600,2016
36863,1349,"[45, 50)",M,409,13056,2016
36864,1350,"[40, 45)",M,1119,14914,2016
36865,1351,"[35, 40)",M,1745,16653,2016
36866,1352,"[35, 40)",M,2115,17715,2016
36868,1354,"[55, 60)",F,1529,16072,2016
36870,1356,"[45, 50)",M,696,13898,2016
36872,1358,"[30, 35)",M,198,12213,2016
36873,1359,"[45, 50)",F,1938,17188,2016
36874,1360,"[40, 45)",M,3028,25298,2016
36875,1361,"[30, 35)",F,2828,21330,2016
36876,1362,"[40, 45)",M,1033,14683,2016
36877,1363,"[45, 50)",M,2220,18075,2016
36880,1366,"[35, 40)",M,553,13489,2016
36881,1367,"[60, 65)",M,2431,19001,2016
36882,1368,"[30, 35)",M,929,14380,2016
36883,1369,"[40, 45)",M,2603,19703,2016
36888,1374,"[40, 45)",M,1043,14702,2016
36889,1375,"[40, 45)",M,1272,15338,2016
36890,1376,"[50, 55)",F,2999,24336,2016
36892,1378,"[40, 45)",F,1616,16305,2016
36894,1380,"[25, 30)",F,1708,16562,2016
36895,1381,"[30, 35)",F,2808,21142,2016
36898,1384,"[30, 35)",F,2738,20582,2016
36899,1385,"[50, 55)",M,1181,15086,2016
36900,1386,"[30, 35)",M,577,13552,2016
36901,1387,"[25, 30)",F,923,14365,2016
36902,1388,"[40, 45)",M,2054,17506,2016
36903,1389,"[35, 40)",M,1772,16737,2016
36904,1390,"[30, 35)",F,2113,17702,2016
36906,1392,"[35, 40)",M,801,14123,2016
36907,1393,"[30, 35)",F,2273,18266,2016
36908,1394,"[45, 50)",M,72,11217,2016
36909,1395,"[25, 30)",F,687,13855,2016
36910,1396,"[35, 40)",M,18,10660,2016
36911,1397,"[25, 30)",M,964,14468,2016
36912,1398,"[25, 30)",M,2085,17583,2016
36913,1399,"[35, 40)",M,1114,14906,2016
36914,1400,"[40, 45)",M,1003,14578,2016
36916,1402,"[35, 40)",M,406,13038,2016
36917,1403,"[35, 40)",M,1463,15937,2016
36919,1405,"[20, 25)",M,135,11859,2016
36921,1407,"[40, 45)",F,1424,15815,2016
36922,1408,"[55, 60)",M,2867,21785,2016
36923,1409,"[35, 40)",F,1658,16423,2016
36925,1411,"[40, 45)",F,1381,15691,2016
36926,1412,"[35, 40)",M,586,13571,2016
36927,1413,"[35, 40)",F,1104,14883,2016
36928,1414,"[25, 30)",M,2015,17393,2016
36930,1416,"[40, 45)",M,1620,16308,2016
36931,1417,"[40, 45)",M,3,9723,2016
36934,1420,"[35, 40)",F,2747,20680,2016
36935,1421,"[45, 50)",F,1832,16884,2016
36936,1422,"[40, 45)",F,2525,19356,2016
36937,1423,"[40, 45)",M,560,13506,2016
36938,1424,"[30, 35)",M,728,13979,2016
36939,1425,"[30, 35)",M,1434,15844,2016
36940,1426,"[45, 50)",M,104,11613,2016
36942,1428,"[30, 35)",M,264,12529,2016
36944,1430,"[45, 50)",M,1744,16649,2016
36945,1431,"[40, 45)",M,1426,15818,2016
36946,1432,"[35, 40)",M,1275,15359,2016
36947,1433,"[40, 45)",M,1524,16058,2016
36948,1434,"[20, 25)",M,1854,16961,2016
36951,1436,"[30, 35)",M,2403,18883,2016
36952,1437,"[40, 45)",M,2387,18800,2016
36953,1438,"[35, 40)",M,1432,15840,2016
36954,1439,"[25, 30)",M,433,13123,2016
36959,1444,"[50, 55)",M,1923,17114,2016
36960,1445,"[40, 45)",F,3013,24724,2016
36961,1446,"[50, 55)",M,1001,14573,2016
36962,1447,"[30, 35)",M,2889,22005,2016
36963,1448,"[35, 40)",M,510,13363,2016
36964,1449,"[35, 40)",M,1334,15528,2016
36965,1450,"[35, 40)",M,1374,15654,2016
36966,1451,"[25, 30)",F,1935,17179,2016
36967,1452,"[60, 65)",M,431,13117,2016
36969,1454,"[40, 45)",F,1748,16660,2016
36971,1456,"[35, 40)",M,2674,20090,2016
36972,1457,"[35, 40)",M,1070,14808,2016
36973,1458,"[40, 45)",F,2866,21777,2016
36975,1460,"[35, 40)",F,2863,21776,2016
36976,1461,"[35, 40)",M,2764,20828,2016
36978,1463,"[40, 45)",M,223,12360,2016
36980,1465,"[50, 55)",M,467,13239,2016
36982,1467,"[45, 50)",F,1483,15968,2016
36983,1468,"[35, 40)",M,1232,15227,2016
36984,1469,"[25, 30)",F,691,13880,2016
36985,1470,"[40, 45)",M,977,14508,2016
36988,1473,"[30, 35)",M,1115,14911,2016
36989,1474,"[35, 40)",M,396,13002,2016
36990,1475,"[35, 40)",M,1726,16615,2016
36991,1476,"[35, 40)",F,2826,21296,2016
36993,1478,"[50, 55)",M,2000,17364,2016
36996,1481,"[35, 40)",F,1640,16366,2016
36997,1482,"[55, 60)",F,3024,25005,2016
36998,1483,"[55, 60)",M,1128,14938,2016
36999,1484,"[40, 45)",M,2821,21258,2016
37000,1485,"[50, 55)",M,2503,19265,2016
37001,1486,"[35, 40)",M,1147,14973,2016
37002,1487,"[25, 30)",M,227,12372,2016
37003,1488,"[30, 35)",M,575,13549,2016
37004,1489,"[45, 50)",M,1017,14627,2016
37005,1490,"[50, 55)",M,818,14159,2016
37007,1492,"[65, 70)",M,2103,17680,2016
37009,1494,"[45, 50)",F,2424,18977,2016
37010,1495,"[35, 40)",F,797,14112,2016
37012,1497,"[40, 45)",M,1389,15715,2016
37013,1498,"[65, 70)",M,2489,19206,2016
37014,1499,"[35, 40)",M,115,11698,2016
37016,1501,"[40, 45)",M,781,14080,2016
37019,1504,"[30, 35)",F,795,14109,2016
37020,1505,"[40, 45)",M,537,13453,2016
37021,1506,"[35, 40)",M,410,13062,2016
37023,1508,"[50, 55)",M,2887,21998,2016
37024,1509,"[25, 30)",M,590,13587,2016
37025,1510,"[20, 25)",M,369,12892,2016
37026,1511,"[30, 35)",M,2416,18938,2016
37027,1512,"[35, 40)",F,665,13783,2016
37028,1513,"[45, 50)",M,1212,15156,2016
37031,1516,"[40, 45)",M,1501,16010,2016
37032,1517,"[60, 65)",M,683,13852,2016
37033,1518,"[60, 65)",M,2791,20990,2016
37037,1522,"[30, 35)",M,189,12153,2016
37038,1523,"[15, 20)",F,1780,16754,2016
37040,1525,"[30, 35)",M,1405,15764,2016
37041,1526,"[40, 45)",F,1441,15872,2016
37042,1527,"[35, 40)",M,2681,20155,2016
37043,1528,"[40, 45)",F,1356,15585,2016
37044,1529,"[30, 35)",M,2762,20810,2016
37046,1531,"[60, 65)",M,2971,23460,2016
